# x_n, y_n, z_n
0.0000, 0.0000, 1.0000
0.0252, 0.0252, 0.9997
0.0504, 0.0503, 0.9987
0.0755, 0.0755, 0.9971
0.1007, 0.1006, 0.9949
0.1259, 0.1256, 0.9921
0.1511, 0.1505, 0.9886
0.1763, 0.1754, 0.9845
0.2015, 0.2001, 0.9798
0.2266, 0.2247, 0.9744
0.2518, 0.2492, 0.9685
0.2770, 0.2735, 0.9619
0.3022, 0.2976, 0.9547
0.3274, 0.3216, 0.9469
0.3526, 0.3453, 0.9385
0.3777, 0.3688, 0.9295
0.4029, 0.3921, 0.9199
0.4281, 0.4152, 0.9098
0.4533, 0.4379, 0.8990
0.4785, 0.4604, 0.8877
0.5037, 0.4826, 0.8758
0.5288, 0.5045, 0.8634
0.5540, 0.5261, 0.8504
0.5792, 0.5474, 0.8369
0.6044, 0.5683, 0.8228
0.6296, 0.5888, 0.8083
0.6548, 0.6090, 0.7932
0.6799, 0.6287, 0.7776
0.7051, 0.6481, 0.7615
0.7303, 0.6671, 0.7450
0.7555, 0.6856, 0.7279
0.7807, 0.7038, 0.7104
0.8059, 0.7214, 0.6925
0.8310, 0.7386, 0.6741
0.8562, 0.7554, 0.6553
0.8814, 0.7716, 0.6361
0.9066, 0.7874, 0.6164
0.9318, 0.8027, 0.5964
0.9570, 0.8174, 0.5760
0.9821, 0.8317, 0.5552
1.0073, 0.8454, 0.5341
1.0325, 0.8586, 0.5127
1.0577, 0.8712, 0.4909
1.0829, 0.8833, 0.4688
1.1081, 0.8948, 0.4464
1.1332, 0.9058, 0.4237
1.1584, 0.9162, 0.4008
1.1836, 0.9260, 0.3776
1.2088, 0.9352, 0.3542
1.2340, 0.9438, 0.3305
1.2592, 0.9518, 0.3066
1.2843, 0.9593, 0.2826
1.3095, 0.9661, 0.2583
1.3347, 0.9723, 0.2339
1.3599, 0.9778, 0.2093
1.3851, 0.9828, 0.1847
1.4103, 0.9871, 0.1599
1.4354, 0.9909, 0.1349
1.4606, 0.9939, 0.1100
1.4858, 0.9964, 0.0849
1.5110, 0.9982, 0.0598
1.5362, 0.9994, 0.0346
1.5614, 1.0000, 0.0094
1.5865, 0.9999, -0.0157
1.6117, 0.9992, -0.0409
1.6369, 0.9978, -0.0661
1.6621, 0.9958, -0.0912
1.6873, 0.9932, -0.1162
1.7125, 0.9900, -0.1412
1.7376, 0.9861, -0.1661
1.7628, 0.9816, -0.1908
1.7880, 0.9765, -0.2155
1.8132, 0.9708, -0.2400
1.8384, 0.9644, -0.2644
1.8635, 0.9575, -0.2886
1.8887, 0.9499, -0.3126
1.9139, 0.9417, -0.3364
1.9391, 0.9329, -0.3600
1.9643, 0.9236, -0.3834
1.9895, 0.9136, -0.4065
2.0146, 0.9031, -0.4294
2.0398, 0.8920, -0.4520
2.0650, 0.8803, -0.4743
2.0902, 0.8681, -0.4964
2.1154, 0.8553, -0.5181
2.1406, 0.8420, -0.5394
2.1657, 0.8282, -0.5605
2.1909, 0.8138, -0.5811
2.2161, 0.7989, -0.6015
2.2413, 0.7835, -0.6214
2.2665, 0.7676, -0.6409
2.2917, 0.7512, -0.6600
2.3168, 0.7344, -0.6787
2.3420, 0.7171, -0.6970
2.3672, 0.6993, -0.7149
2.3924, 0.6811, -0.7322
2.4176, 0.6624, -0.7492
2.4428, 0.6433, -0.7656
2.4679, 0.6238, -0.7816
2.4931, 0.6040, -0.7970
2.5183, 0.5837, -0.8120
2.5435, 0.5631, -0.8264
2.5687, 0.5421, -0.8403
2.5939, 0.5208, -0.8537
2.6190, 0.4991, -0.8665
2.6442, 0.4771, -0.8788
2.6694, 0.4548, -0.8906
2.6946, 0.4323, -0.9017
2.7198, 0.4094, -0.9123
2.7450, 0.3863, -0.9224
2.7701, 0.3630, -0.9318
2.7953, 0.3394, -0.9406
2.8205, 0.3156, -0.9489
2.8457, 0.2916, -0.9565
2.8709, 0.2674, -0.9636
2.8961, 0.2431, -0.9700
2.9212, 0.2186, -0.9758
2.9464, 0.1939, -0.9810
2.9716, 0.1692, -0.9856
2.9968, 0.1443, -0.9895
3.0220, 0.1193, -0.9929
3.0472, 0.0943, -0.9955
3.0723, 0.0692, -0.9976
3.0975, 0.0441, -0.9990
3.1227, 0.0189, -0.9998
3.1479, -0.0063, -1.0000
3.1731, -0.0315, -0.9995
3.1983, -0.0566, -0.9984
3.2234, -0.0818, -0.9967
3.2486, -0.1068, -0.9943
3.2738, -0.1318, -0.9913
3.2990, -0.1567, -0.9876
3.3242, -0.1816, -0.9834
3.3494, -0.2063, -0.9785
3.3745, -0.2308, -0.9730
3.3997, -0.2553, -0.9669
3.4249, -0.2795, -0.9601
3.4501, -0.3036, -0.9528
3.4753, -0.3275, -0.9448
3.5005, -0.3512, -0.9363
3.5256, -0.3747, -0.9272
3.5508, -0.3979, -0.9174
3.5760, -0.4209, -0.9071
3.6012, -0.4436, -0.8962
3.6264, -0.4660, -0.8848
3.6516, -0.4881, -0.8728
3.6767, -0.5100, -0.8602
3.7019, -0.5315, -0.8471
3.7271, -0.5526, -0.8334
3.7523, -0.5734, -0.8193
3.7775, -0.5939, -0.8046
3.8026, -0.6140, -0.7893
3.8278, -0.6336, -0.7736
3.8530, -0.6529, -0.7574
3.8782, -0.6718, -0.7408
3.9034, -0.6902, -0.7236
3.9286, -0.7082, -0.7060
3.9537, -0.7258, -0.6879
3.9789, -0.7429, -0.6694
4.0041, -0.7595, -0.6505
4.0293, -0.7756, -0.6312
4.0545, -0.7913, -0.6115
4.0797, -0.8064, -0.5913
4.1048, -0.8211, -0.5709
4.1300, -0.8352, -0.5500
4.1552, -0.8488, -0.5288
4.1804, -0.8618, -0.5073
4.2056, -0.8743, -0.4854
4.2308, -0.8862, -0.4632
4.2559, -0.8976, -0.4408
4.2811, -0.9084, -0.4180
4.3063, -0.9187, -0.3950
4.3315, -0.9283, -0.3718
4.3567, -0.9374, -0.3483
4.3819, -0.9459, -0.3245
4.4070, -0.9537, -0.3006
4.4322, -0.9610, -0.2765
4.4574, -0.9677, -0.2522
4.4826, -0.9737, -0.2278
4.5078, -0.9791, -0.2032
4.5330, -0.9839, -0.1785
4.5581, -0.9881, -0.1536
4.5833, -0.9917, -0.1287
4.6085, -0.9946, -0.1037
4.6337, -0.9969, -0.0786
4.6589, -0.9986, -0.0535
4.6841, -0.9996, -0.0283
4.7092, -1.0000, -0.0031
4.7344, -0.9998, 0.0220
4.7596, -0.9989, 0.0472
4.7848, -0.9974, 0.0723
4.8100, -0.9952, 0.0974
4.8352, -0.9925, 0.1225
4.8603, -0.9891, 0.1474
4.8855, -0.9850, 0.1723
4.9107, -0.9804, 0.1970
4.9359, -0.9751, 0.2216
4.9611, -0.9692, 0.2461
4.9863, -0.9627, 0.2705
5.0114, -0.9556, 0.2946
5.0366, -0.9479, 0.3186
5.0618, -0.9396, 0.3423
5.0870, -0.9307, 0.3659
5.1122, -0.9211, 0.3892
5.1374, -0.9111, 0.4123
5.1625, -0.9004, 0.4351
5.1877, -0.8891, 0.4576
5.2129, -0.8773, 0.4799
5.2381, -0.8650, 0.5018
5.2633, -0.8521, 0.5234
5.2885, -0.8386, 0.5447
5.3136, -0.8246, 0.5657
5.3388, -0.8101, 0.5863
5.3640, -0.7951, 0.6065
5.3892, -0.7796, 0.6263
5.4144, -0.7636, 0.6457
5.4396, -0.7471, 0.6648
5.4647, -0.7301, 0.6834
5.4899, -0.7126, 0.7015
5.5151, -0.6948, 0.7192
5.5403, -0.6764, 0.7365
5.5655, -0.6577, 0.7533
5.5906, -0.6385, 0.7696
5.6158, -0.6189, 0.7855
5.6410, -0.5989, 0.8008
5.6662, -0.5786, 0.8156
5.6914, -0.5579, 0.8299
5.7166, -0.5368, 0.8437
5.7417, -0.5154, 0.8570
5.7669, -0.4936, 0.8697
5.7921, -0.4716, 0.8818
5.8173, -0.4492, 0.8934
5.8425, -0.4266, 0.9045
5.8677, -0.4037, 0.9149
5.8928, -0.3805, 0.9248
5.9180, -0.3571, 0.9341
5.9432, -0.3335, 0.9428
5.9684, -0.3096, 0.9509
5.9936, -0.2856, 0.9584
6.0188, -0.2614, 0.9652
6.0439, -0.2370, 0.9715
6.0691, -0.2124, 0.9772
6.0943, -0.1878, 0.9822
6.1195, -0.1630, 0.9866
6.1447, -0.1381, 0.9904
6.1699, -0.1131, 0.9936
6.1950, -0.0880, 0.9961
6.2202, -0.0629, 0.9980
6.2454, -0.0378, 0.9993
6.2706, -0.0126, 0.9999
6.2958, 0.0126, 0.9999
6.3210, 0.0378, 0.9993
6.3461, 0.0629, 0.9980
6.3713, 0.0880, 0.9961
6.3965, 0.1131, 0.9936
6.4217, 0.1381, 0.9904
6.4469, 0.1630, 0.9866
6.4721, 0.1878, 0.9822
6.4972, 0.2124, 0.9772
6.5224, 0.2370, 0.9715
6.5476, 0.2614, 0.9652
6.5728, 0.2856, 0.9584
6.5980, 0.3096, 0.9509
6.6232, 0.3335, 0.9428
6.6483, 0.3571, 0.9341
6.6735, 0.3805, 0.9248
6.6987, 0.4037, 0.9149
6.7239, 0.4266, 0.9045
6.7491, 0.4492, 0.8934
6.7743, 0.4716, 0.8818
6.7994, 0.4936, 0.8697
6.8246, 0.5154, 0.8570
6.8498, 0.5368, 0.8437
6.8750, 0.5579, 0.8299
6.9002, 0.5786, 0.8156
6.9254, 0.5989, 0.8008
6.9505, 0.6189, 0.7855
6.9757, 0.6385, 0.7696
7.0009, 0.6577, 0.7533
7.0261, 0.6764, 0.7365
7.0513, 0.6948, 0.7192
7.0765, 0.7126, 0.7015
7.1016, 0.7301, 0.6834
7.1268, 0.7471, 0.6648
7.1520, 0.7636, 0.6457
7.1772, 0.7796, 0.6263
7.2024, 0.7951, 0.6065
7.2276, 0.8101, 0.5863
7.2527, 0.8246, 0.5657
7.2779, 0.8386, 0.5447
7.3031, 0.8521, 0.5234
7.3283, 0.8650, 0.5018
7.3535, 0.8773, 0.4799
7.3787, 0.8891, 0.4576
7.4038, 0.9004, 0.4351
7.4290, 0.9111, 0.4123
7.4542, 0.9211, 0.3892
7.4794, 0.9307, 0.3659
7.5046, 0.9396, 0.3423
7.5297, 0.9479, 0.3186
7.5549, 0.9556, 0.2946
7.5801, 0.9627, 0.2705
7.6053, 0.9692, 0.2461
7.6305, 0.9751, 0.2216
7.6557, 0.9804, 0.1970
7.6808, 0.9850, 0.1723
7.7060, 0.9891, 0.1474
7.7312, 0.9925, 0.1225
7.7564, 0.9952, 0.0974
7.7816, 0.9974, 0.0723
7.8068, 0.9989, 0.0472
7.8319, 0.9998, 0.0220
7.8571, 1.0000, -0.0031
7.8823, 0.9996, -0.0283
7.9075, 0.9986, -0.0535
7.9327, 0.9969, -0.0786
7.9579, 0.9946, -0.1037
7.9830, 0.9917, -0.1287
8.0082, 0.9881, -0.1536
8.0334, 0.9839, -0.1785
8.0586, 0.9791, -0.2032
8.0838, 0.9737, -0.2278
8.1090, 0.9677, -0.2522
8.1341, 0.9610, -0.2765
8.1593, 0.9537, -0.3006
8.1845, 0.9459, -0.3245
8.2097, 0.9374, -0.3483
8.2349, 0.9283, -0.3718
8.2601, 0.9187, -0.3950
8.2852, 0.9084, -0.4180
8.3104, 0.8976, -0.4408
8.3356, 0.8862, -0.4632
8.3608, 0.8743, -0.4854
8.3860, 0.8618, -0.5073
8.4112, 0.8488, -0.5288
8.4363, 0.8352, -0.5500
8.4615, 0.8211, -0.5709
8.4867, 0.8064, -0.5913
8.5119, 0.7913, -0.6115
8.5371, 0.7756, -0.6312
8.5623, 0.7595, -0.6505
8.5874, 0.7429, -0.6694
8.6126, 0.7258, -0.6879
8.6378, 0.7082, -0.7060
8.6630, 0.6902, -0.7236
8.6882, 0.6718, -0.7408
8.7134, 0.6529, -0.7574
8.7385, 0.6336, -0.7736
8.7637, 0.6140, -0.7893
8.7889, 0.5939, -0.8046
8.8141, 0.5734, -0.8193
8.8393, 0.5526, -0.8334
8.8645, 0.5315, -0.8471
8.8896, 0.5100, -0.8602
8.9148, 0.4881, -0.8728
8.9400, 0.4660, -0.8848
8.9652, 0.4436, -0.8962
8.9904, 0.4209, -0.9071
9.0156, 0.3979, -0.9174
9.0407, 0.3747, -0.9272
9.0659, 0.3512, -0.9363
9.0911, 0.3275, -0.9448
9.1163, 0.3036, -0.9528
9.1415, 0.2795, -0.9601
9.1667, 0.2553, -0.9669
9.1918, 0.2308, -0.9730
9.2170, 0.2063, -0.9785
9.2422, 0.1816, -0.9834
9.2674, 0.1567, -0.9876
9.2926, 0.1318, -0.9913
9.3177, 0.1068, -0.9943
9.3429, 0.0818, -0.9967
9.3681, 0.0566, -0.9984
9.3933, 0.0315, -0.9995
9.4185, 0.0063, -1.0000
9.4437, -0.0189, -0.9998
9.4688, -0.0441, -0.9990
9.4940, -0.0692, -0.9976
9.5192, -0.0943, -0.9955
9.5444, -0.1193, -0.9929
9.5696, -0.1443, -0.9895
9.5948, -0.1692, -0.9856
9.6199, -0.1939, -0.9810
9.6451, -0.2186, -0.9758
9.6703, -0.2431, -0.9700
9.6955, -0.2674, -0.9636
9.7207, -0.2916, -0.9565
9.7459, -0.3156, -0.9489
9.7710, -0.3394, -0.9406
9.7962, -0.3630, -0.9318
9.8214, -0.3863, -0.9224
9.8466, -0.4094, -0.9123
9.8718, -0.4323, -0.9017
9.8970, -0.4548, -0.8906
9.9221, -0.4771, -0.8788
9.9473, -0.4991, -0.8665
9.9725, -0.5208, -0.8537
9.9977, -0.5421, -0.8403
10.0229, -0.5631, -0.8264
10.0481, -0.5837, -0.8120
10.0732, -0.6040, -0.7970
10.0984, -0.6238, -0.7816
10.1236, -0.6433, -0.7656
10.1488, -0.6624, -0.7492
10.1740, -0.6811, -0.7322
10.1992, -0.6993, -0.7149
10.2243, -0.7171, -0.6970
10.2495, -0.7344, -0.6787
10.2747, -0.7512, -0.6600
10.2999, -0.7676, -0.6409
10.3251, -0.7835, -0.6214
10.3503, -0.7989, -0.6015
10.3754, -0.8138, -0.5811
10.4006, -0.8282, -0.5605
10.4258, -0.8420, -0.5394
10.4510, -0.8553, -0.5181
10.4762, -0.8681, -0.4964
10.5014, -0.8803, -0.4743
10.5265, -0.8920, -0.4520
10.5517, -0.9031, -0.4294
10.5769, -0.9136, -0.4065
10.6021, -0.9236, -0.3834
10.6273, -0.9329, -0.3600
10.6525, -0.9417, -0.3364
10.6776, -0.9499, -0.3126
10.7028, -0.9575, -0.2886
10.7280, -0.9644, -0.2644
10.7532, -0.9708, -0.2400
10.7784, -0.9765, -0.2155
10.8036, -0.9816, -0.1908
10.8287, -0.9861, -0.1661
10.8539, -0.9900, -0.1412
10.8791, -0.9932, -0.1162
10.9043, -0.9958, -0.0912
10.9295, -0.9978, -0.0661
10.9547, -0.9992, -0.0409
10.9798, -0.9999, -0.0157
11.0050, -1.0000, 0.0094
11.0302, -0.9994, 0.0346
11.0554, -0.9982, 0.0598
11.0806, -0.9964, 0.0849
11.1058, -0.9939, 0.1100
11.1309, -0.9909, 0.1349
11.1561, -0.9871, 0.1599
11.1813, -0.9828, 0.1847
11.2065, -0.9778, 0.2093
11.2317, -0.9723, 0.2339
11.2568, -0.9661, 0.2583
11.2820, -0.9593, 0.2826
11.3072, -0.9518, 0.3066
11.3324, -0.9438, 0.3305
11.3576, -0.9352, 0.3542
11.3828, -0.9260, 0.3776
11.4079, -0.9162, 0.4008
11.4331, -0.9058, 0.4237
11.4583, -0.8948, 0.4464
11.4835, -0.8833, 0.4688
11.5087, -0.8712, 0.4909
11.5339, -0.8586, 0.5127
11.5590, -0.8454, 0.5341
11.5842, -0.8317, 0.5552
11.6094, -0.8174, 0.5760
11.6346, -0.8027, 0.5964
11.6598, -0.7874, 0.6164
11.6850, -0.7716, 0.6361
11.7101, -0.7554, 0.6553
11.7353, -0.7386, 0.6741
11.7605, -0.7214, 0.6925
11.7857, -0.7038, 0.7104
11.8109, -0.6856, 0.7279
11.8361, -0.6671, 0.7450
11.8612, -0.6481, 0.7615
11.8864, -0.6287, 0.7776
11.9116, -0.6090, 0.7932
11.9368, -0.5888, 0.8083
11.9620, -0.5683, 0.8228
11.9872, -0.5474, 0.8369
12.0123, -0.5261, 0.8504
12.0375, -0.5045, 0.8634
12.0627, -0.4826, 0.8758
12.0879, -0.4604, 0.8877
12.1131, -0.4379, 0.8990
12.1383, -0.4152, 0.9098
12.1634, -0.3921, 0.9199
12.1886, -0.3688, 0.9295
12.2138, -0.3453, 0.9385
12.2390, -0.3216, 0.9469
12.2642, -0.2976, 0.9547
12.2894, -0.2735, 0.9619
12.3145, -0.2492, 0.9685
12.3397, -0.2247, 0.9744
12.3649, -0.2001, 0.9798
12.3901, -0.1754, 0.9845
12.4153, -0.1505, 0.9886
12.4405, -0.1256, 0.9921
12.4656, -0.1006, 0.9949
12.4908, -0.0755, 0.9971
12.5160, -0.0503, 0.9987
12.5412, -0.0252, 0.9997
12.5664, -0.0000, 1.0000
