# x_n,z_n,y_n
0.0000, 1.0000, 0.0000
0.0252, 0.9997, 0.0252
0.0504, 0.9987, 0.0503
0.0755, 0.9971, 0.0755
0.1007, 0.9949, 0.1006
0.1259, 0.9921, 0.1256
0.1511, 0.9886, 0.1505
0.1763, 0.9845, 0.1754
0.2015, 0.9798, 0.2001
0.2266, 0.9744, 0.2247
0.2518, 0.9685, 0.2492
0.2770, 0.9619, 0.2735
0.3022, 0.9547, 0.2976
0.3274, 0.9469, 0.3216
0.3526, 0.9385, 0.3453
0.3777, 0.9295, 0.3688
0.4029, 0.9199, 0.3921
0.4281, 0.9098, 0.4152
0.4533, 0.8990, 0.4379
0.4785, 0.8877, 0.4604
0.5037, 0.8758, 0.4826
0.5288, 0.8634, 0.5045
0.5540, 0.8504, 0.5261
0.5792, 0.8369, 0.5474
0.6044, 0.8228, 0.5683
0.6296, 0.8083, 0.5888
0.6548, 0.7932, 0.6090
0.6799, 0.7776, 0.6287
0.7051, 0.7615, 0.6481
0.7303, 0.7450, 0.6671
0.7555, 0.7279, 0.6856
0.7807, 0.7104, 0.7038
0.8059, 0.6925, 0.7214
0.8310, 0.6741, 0.7386
0.8562, 0.6553, 0.7554
0.8814, 0.6361, 0.7716
0.9066, 0.6164, 0.7874
0.9318, 0.5964, 0.8027
0.9570, 0.5760, 0.8174
0.9821, 0.5552, 0.8317
1.0073, 0.5341, 0.8454
1.0325, 0.5127, 0.8586
1.0577, 0.4909, 0.8712
1.0829, 0.4688, 0.8833
1.1081, 0.4464, 0.8948
1.1332, 0.4237, 0.9058
1.1584, 0.4008, 0.9162
1.1836, 0.3776, 0.9260
1.2088, 0.3542, 0.9352
1.2340, 0.3305, 0.9438
1.2592, 0.3066, 0.9518
1.2843, 0.2826, 0.9593
1.3095, 0.2583, 0.9661
1.3347, 0.2339, 0.9723
1.3599, 0.2093, 0.9778
1.3851, 0.1847, 0.9828
1.4103, 0.1599, 0.9871
1.4354, 0.1349, 0.9909
1.4606, 0.1100, 0.9939
1.4858, 0.0849, 0.9964
1.5110, 0.0598, 0.9982
1.5362, 0.0346, 0.9994
1.5614, 0.0094, 1.0000
1.5865, -0.0157, 0.9999
1.6117, -0.0409, 0.9992
1.6369, -0.0661, 0.9978
1.6621, -0.0912, 0.9958
1.6873, -0.1162, 0.9932
1.7125, -0.1412, 0.9900
1.7376, -0.1661, 0.9861
1.7628, -0.1908, 0.9816
1.7880, -0.2155, 0.9765
1.8132, -0.2400, 0.9708
1.8384, -0.2644, 0.9644
1.8635, -0.2886, 0.9575
1.8887, -0.3126, 0.9499
1.9139, -0.3364, 0.9417
1.9391, -0.3600, 0.9329
1.9643, -0.3834, 0.9236
1.9895, -0.4065, 0.9136
2.0146, -0.4294, 0.9031
2.0398, -0.4520, 0.8920
2.0650, -0.4743, 0.8803
2.0902, -0.4964, 0.8681
2.1154, -0.5181, 0.8553
2.1406, -0.5394, 0.8420
2.1657, -0.5605, 0.8282
2.1909, -0.5811, 0.8138
2.2161, -0.6015, 0.7989
2.2413, -0.6214, 0.7835
2.2665, -0.6409, 0.7676
2.2917, -0.6600, 0.7512
2.3168, -0.6787, 0.7344
2.3420, -0.6970, 0.7171
2.3672, -0.7149, 0.6993
2.3924, -0.7322, 0.6811
2.4176, -0.7492, 0.6624
2.4428, -0.7656, 0.6433
2.4679, -0.7816, 0.6238
2.4931, -0.7970, 0.6040
2.5183, -0.8120, 0.5837
2.5435, -0.8264, 0.5631
2.5687, -0.8403, 0.5421
2.5939, -0.8537, 0.5208
2.6190, -0.8665, 0.4991
2.6442, -0.8788, 0.4771
2.6694, -0.8906, 0.4548
2.6946, -0.9017, 0.4323
2.7198, -0.9123, 0.4094
2.7450, -0.9224, 0.3863
2.7701, -0.9318, 0.3630
2.7953, -0.9406, 0.3394
2.8205, -0.9489, 0.3156
2.8457, -0.9565, 0.2916
2.8709, -0.9636, 0.2674
2.8961, -0.9700, 0.2431
2.9212, -0.9758, 0.2186
2.9464, -0.9810, 0.1939
2.9716, -0.9856, 0.1692
2.9968, -0.9895, 0.1443
3.0220, -0.9929, 0.1193
3.0472, -0.9955, 0.0943
3.0723, -0.9976, 0.0692
3.0975, -0.9990, 0.0441
3.1227, -0.9998, 0.0189
3.1479, -1.0000, -0.0063
3.1731, -0.9995, -0.0315
3.1983, -0.9984, -0.0566
3.2234, -0.9967, -0.0818
3.2486, -0.9943, -0.1068
3.2738, -0.9913, -0.1318
3.2990, -0.9876, -0.1567
3.3242, -0.9834, -0.1816
3.3494, -0.9785, -0.2063
3.3745, -0.9730, -0.2308
3.3997, -0.9669, -0.2553
3.4249, -0.9601, -0.2795
3.4501, -0.9528, -0.3036
3.4753, -0.9448, -0.3275
3.5005, -0.9363, -0.3512
3.5256, -0.9272, -0.3747
3.5508, -0.9174, -0.3979
3.5760, -0.9071, -0.4209
3.6012, -0.8962, -0.4436
3.6264, -0.8848, -0.4660
3.6516, -0.8728, -0.4881
3.6767, -0.8602, -0.5100
3.7019, -0.8471, -0.5315
3.7271, -0.8334, -0.5526
3.7523, -0.8193, -0.5734
3.7775, -0.8046, -0.5939
3.8026, -0.7893, -0.6140
3.8278, -0.7736, -0.6336
3.8530, -0.7574, -0.6529
3.8782, -0.7408, -0.6718
3.9034, -0.7236, -0.6902
3.9286, -0.7060, -0.7082
3.9537, -0.6879, -0.7258
3.9789, -0.6694, -0.7429
4.0041, -0.6505, -0.7595
4.0293, -0.6312, -0.7756
4.0545, -0.6115, -0.7913
4.0797, -0.5913, -0.8064
4.1048, -0.5709, -0.8211
4.1300, -0.5500, -0.8352
4.1552, -0.5288, -0.8488
4.1804, -0.5073, -0.8618
4.2056, -0.4854, -0.8743
4.2308, -0.4632, -0.8862
4.2559, -0.4408, -0.8976
4.2811, -0.4180, -0.9084
4.3063, -0.3950, -0.9187
4.3315, -0.3718, -0.9283
4.3567, -0.3483, -0.9374
4.3819, -0.3245, -0.9459
4.4070, -0.3006, -0.9537
4.4322, -0.2765, -0.9610
4.4574, -0.2522, -0.9677
4.4826, -0.2278, -0.9737
4.5078, -0.2032, -0.9791
4.5330, -0.1785, -0.9839
4.5581, -0.1536, -0.9881
4.5833, -0.1287, -0.9917
4.6085, -0.1037, -0.9946
4.6337, -0.0786, -0.9969
4.6589, -0.0535, -0.9986
4.6841, -0.0283, -0.9996
4.7092, -0.0031, -1.0000
4.7344, 0.0220, -0.9998
4.7596, 0.0472, -0.9989
4.7848, 0.0723, -0.9974
4.8100, 0.0974, -0.9952
4.8352, 0.1225, -0.9925
4.8603, 0.1474, -0.9891
4.8855, 0.1723, -0.9850
4.9107, 0.1970, -0.9804
4.9359, 0.2216, -0.9751
4.9611, 0.2461, -0.9692
4.9863, 0.2705, -0.9627
5.0114, 0.2946, -0.9556
5.0366, 0.3186, -0.9479
5.0618, 0.3423, -0.9396
5.0870, 0.3659, -0.9307
5.1122, 0.3892, -0.9211
5.1374, 0.4123, -0.9111
5.1625, 0.4351, -0.9004
5.1877, 0.4576, -0.8891
5.2129, 0.4799, -0.8773
5.2381, 0.5018, -0.8650
5.2633, 0.5234, -0.8521
5.2885, 0.5447, -0.8386
5.3136, 0.5657, -0.8246
5.3388, 0.5863, -0.8101
5.3640, 0.6065, -0.7951
5.3892, 0.6263, -0.7796
5.4144, 0.6457, -0.7636
5.4396, 0.6648, -0.7471
5.4647, 0.6834, -0.7301
5.4899, 0.7015, -0.7126
5.5151, 0.7192, -0.6948
5.5403, 0.7365, -0.6764
5.5655, 0.7533, -0.6577
5.5906, 0.7696, -0.6385
5.6158, 0.7855, -0.6189
